Ativo;Data;time;open;high;low;close;Volume;Quantidade
WINFUT;23/12/2021;14:30:00;106130;106165;106085;106095;1996735903.41;94074
WINFUT;23/12/2021;14:25:00;105985;106140;105985;106130;2556550920.64;120503
WINFUT;23/12/2021;14:20:00;105980;106005;105940;105990;1761935607.00;83133
WINFUT;23/12/2021;14:15:00;106025;106060;105980;105980;1580906087.34;74556
WINFUT;23/12/2021;14:10:00;106035;106075;105955;106025;2695765356.82;127150
WINFUT;23/12/2021;14:05:00;106020;106085;105985;106035;2320751391.27;109436
WINFUT;23/12/2021;14:00:00;106065;106075;105995;106020;2213228362.67;104375
WINFUT;23/12/2021;13:55:00;106050;106115;106030;106065;2231144163.96;105176
WINFUT;23/12/2021;13:50:00;105975;106075;105965;106055;1658527200.47;78207
WINFUT;23/12/2021;13:45:00;105975;106065;105965;105980;2307930525.06;108850
WINFUT;23/12/2021;13:40:00;105965;106020;105935;105980;1611044354.78;76005
WINFUT;23/12/2021;13:35:00;105940;105995;105910;105970;1931291460.52;91142
WINFUT;23/12/2021;13:30:00;105985;106030;105925;105940;2043386062.17;96403
WINFUT;23/12/2021;13:25:00;105930;106020;105920;105985;2718079023.13;128241
WINFUT;23/12/2021;13:20:00;106085;106095;105830;105930;5275968478.99;248990
WINFUT;23/12/2021;13:15:00;106060;106085;105995;106085;3406388269.27;160608
WINFUT;23/12/2021;13:10:00;106150;106230;106035;106060;4448103051.63;209564
WINFUT;23/12/2021;13:05:00;106200;106210;106110;106150;2351454173.69;110758
WINFUT;23/12/2021;13:00:00;106180;106215;106145;106200;2097149234.93;98757
WINFUT;23/12/2021;12:55:00;106215;106245;106120;106185;3141892394.39;147959
WINFUT;23/12/2021;12:50:00;106260;106325;106170;106220;3628666070.65;170776
WINFUT;23/12/2021;12:45:00;106275;106285;106200;106260;2991353546.14;140794
WINFUT;23/12/2021;12:40:00;106300;106340;106270;106280;2101971688.14;98871
WINFUT;23/12/2021;12:35:00;106235;106330;106230;106305;3360147359.77;158056
WINFUT;23/12/2021;12:30:00;106220;106275;106160;106235;4045575485.65;190435
WINFUT;23/12/2021;12:25:00;106105;106225;106085;106220;2767822860.83;130372
WINFUT;23/12/2021;12:20:00;106225;106225;106090;106105;3263271564.13;153706
WINFUT;23/12/2021;12:15:00;106075;106235;106070;106225;3543637258.24;166893
WINFUT;23/12/2021;12:10:00;106005;106130;105990;106080;3170174339.74;149428
WINFUT;23/12/2021;12:05:00;105965;106075;105935;106005;4358951231.33;205606
WINFUT;23/12/2021;12:00:00;106155;106165;105945;105960;4126048497.81;194555
WINFUT;23/12/2021;11:55:00;106060;106175;106015;106155;3040637420.78;143298
WINFUT;23/12/2021;11:50:00;106040;106155;106025;106060;4217879775.20;198784
WINFUT;23/12/2021;11:45:00;106135;106155;105980;106040;5797327452.48;273280
