Ativo;Data;time;open;high;low;close;Volume;Quantidade
WDOFUT;12/01/2022;13:41:00;5.580,000;5.580,000;5.577,500;5.578,000;203.722.530,00;3.652
WDOFUT;12/01/2022;13:40:00;5.580,000;5.580,500;5.579,000;5.580,000;149.086.975,00;2.672
WDOFUT;12/01/2022;13:39:00;5.582,000;5.582,000;5.580,000;5.580,000;81.481.570,00;1.460
WDOFUT;12/01/2022;13:38:00;5.582,500;5.583,000;5.581,500;5.582,000;82.838.455,00;1.484
WDOFUT;12/01/2022;13:37:00;5.582,000;5.583,000;5.581,500;5.582,000;94.395.645,00;1.691
WDOFUT;12/01/2022;13:36:00;5.585,000;5.586,000;5.581,500;5.582,000;248.043.580,00;4.442
WDOFUT;12/01/2022;13:35:00;5.584,000;5.585,000;5.583,000;5.585,000;79.798.360,00;1.429
WDOFUT;12/01/2022;13:34:00;5.582,500;5.584,500;5.582,500;5.584,500;105.975.765,00;1.898
WDOFUT;12/01/2022;13:33:00;5.581,000;5.583,000;5.580,500;5.583,000;102.709.865,00;1.840
WDOFUT;12/01/2022;13:32:00;5.580,500;5.581,500;5.579,000;5.580,500;122.152.610,00;2.189
WDOFUT;12/01/2022;13:31:00;5.581,500;5.582,000;5.580,000;5.580,500;107.655.100,00;1.929
WDOFUT;12/01/2022;13:30:00;5.583,000;5.584,000;5.581,000;5.581,500;91.047.810,00;1.631
WDOFUT;12/01/2022;13:29:00;5.582,000;5.584,500;5.582,000;5.583,000;130.488.965,00;2.337
WDOFUT;12/01/2022;13:28:00;5.582,000;5.583,000;5.582,000;5.582,000;73.298.400,00;1.313
WDOFUT;12/01/2022;13:27:00;5.580,000;5.582,500;5.579,500;5.582,000;117.098.100,00;2.098
WDOFUT;12/01/2022;13:26:00;5.581,000;5.581,500;5.579,000;5.580,000;137.601.480,00;2.466
WDOFUT;12/01/2022;13:25:00;5.583,500;5.584,500;5.580,000;5.580,500;207.216.580,00;3.712
WDOFUT;12/01/2022;13:24:00;5.583,000;5.583,500;5.582,000;5.583,500;97.253.720,00;1.742
WDOFUT;12/01/2022;13:23:00;5.580,000;5.583,000;5.579,000;5.583,000;271.421.080,00;4.863
WDOFUT;12/01/2022;13:22:00;5.583,000;5.583,000;5.578,000;5.579,500;334.527.570,00;5.995
WDOFUT;12/01/2022;13:21:00;5.583,500;5.583,500;5.580,500;5.583,000;164.053.380,00;2.939
WDOFUT;12/01/2022;13:20:00;5.581,000;5.587,000;5.580,000;5.583,000;361.878.685,00;6.481
WDOFUT;12/01/2022;13:19:00;5.585,000;5.585,000;5.580,500;5.581,000;300.838.725,00;5.389
WDOFUT;12/01/2022;13:18:00;5.585,500;5.587,500;5.583,500;5.584,500;264.310.585,00;4.732
WDOFUT;12/01/2022;13:17:00;5.586,000;5.588,000;5.585,000;5.585,500;373.852.885,00;6.692
WDOFUT;12/01/2022;13:16:00;5.582,000;5.588,000;5.581,500;5.586,500;427.069.005,00;7.647
WDOFUT;12/01/2022;13:15:00;5.581,000;5.582,500;5.579,500;5.581,500;292.948.560,00;5.249
WDOFUT;12/01/2022;13:14:00;5.578,500;5.582,500;5.578,500;5.581,000;302.033.910,00;5.412
WDOFUT;12/01/2022;13:13:00;5.578,000;5.579,500;5.577,500;5.578,500;149.109.670,00;2.673
WDOFUT;12/01/2022;13:12:00;5.578,500;5.580,500;5.578,000;5.578,500;159.739.775,00;2.863
WDOFUT;12/01/2022;13:11:00;5.578,000;5.579,000;5.577,000;5.578,500;116.858.180,00;2.095
WDOFUT;12/01/2022;13:10:00;5.576,500;5.579,000;5.575,500;5.578,500;189.629.240,00;3.400
WDOFUT;12/01/2022;13:09:00;5.575,500;5.582,500;5.575,500;5.576,500;761.353.245,00;13.646
WDOFUT;12/01/2022;13:08:00;5.577,000;5.578,500;5.575,000;5.575,500;214.424.425,00;3.845
WDOFUT;12/01/2022;13:07:00;5.574,500;5.578,000;5.574,500;5.577,500;405.252.800,00;7.267
WDOFUT;12/01/2022;13:06:00;5.575,500;5.576,500;5.575,000;5.575,000;190.414.015,00;3.415
WDOFUT;12/01/2022;13:05:00;5.575,000;5.576,000;5.574,500;5.575,500;153.927.495,00;2.761
WDOFUT;12/01/2022;13:04:00;5.576,000;5.576,500;5.574,000;5.575,500;528.459.235,00;9.479
WDOFUT;12/01/2022;13:03:00;5.575,000;5.577,000;5.574,500;5.575,500;209.535.275,00;3.758
WDOFUT;12/01/2022;13:02:00;5.577,000;5.578,500;5.574,500;5.574,500;478.346.760,00;8.578
WDOFUT;12/01/2022;13:01:00;5.576,500;5.578,000;5.576,500;5.577,000;431.650.660,00;7.740
WDOFUT;12/01/2022;13:00:00;5.578,000;5.579,000;5.576,000;5.576,500;548.523.665,00;9.835
WDOFUT;12/01/2022;12:59:00;5.579,000;5.579,500;5.578,000;5.578,000;326.973.615,00;5.861
WDOFUT;12/01/2022;12:58:00;5.581,500;5.581,500;5.578,000;5.578,500;652.459.495,00;11.694
